Субъект РФ;Численность студентов, всего человек, 2015;Численность студентов, очная форма, человек, 2015;Численность студентов очно-заочная (вечерняя) форма, человек, 2015;Численность студентов заочная форма, человек, 2015;Численность студентов, всего человек, 2017;Численность студентов, очная форма, человек, 2017;Численность студентов очно-заочная (вечерняя) форма, человек, 2017;Численность студентов заочная форма, человек, 2017;Численность студентов, всего человек, 2018;Численность студентов, очная форма, человек, 2018;Численность студентов очно-заочная (вечерняя) форма, человек, 2018;Численность студентов заочная форма, человек, 2018;Численность студентов, всего человек, 2019;Численность студентов, очная форма, человек, 2019;Численность студентов очно-заочная (вечерняя) форма, человек, 2019;Численность студентов заочная форма, человек, 2019;;
   Саратовская область;84494;41288;1830;41376;75998;42951;1540;31507;74594;41922;1912;30760;73611;41980;1738;29893;;
   Ульяновская область;39272;18736;1293;19243;36895;19341;1182;16372;36345;19420;1506;15419;35589;19427;1928;14234;;
Уральский федеральный округ;362126;167072;6070;188984;323328;166077;5391;151860;309306;163720;6742;138844;299190;162810;9289;127091;;
   Курганская область;21232;6756;145;14331;17475;5960;448;11067;16590;5740;552;10298;14916;5617;618;8681;;
   Свердловская область;135370;65825;3970;65575;124921;66419;3582;54920;119892;66446;4316;49130;119384;68851;5141;45392;;
   Тюменская область;65337;30694;273;34370;58219;30691;238;27290;55943;30779;334;24830;52791;30031;619;22141;;
   Челябинская область;110303;49497;1682;59124;97081;49238;1044;46799;92490;47171;1435;43884;88844;44811;2297;41736;;
   Ханты-Мансийский автономный округ;27287;13881;0;13406;24653;13678;33;10942;23635;13520;83;10032;22685;13446;551;8688;;
   Ямало-Ненецкий автономный округ;2597;419;0;2178;979;91;46;842;756;64;22;670;570;54;63;453;;
Сибирский федеральный округ;570776;297941;10194;262641;505821;293327;10802;201692;491516;286866;14844;189806;475879;281778;17507;176594;;
   Республика Алтай;3334;2012;0;1322;2938;1753;0;1185;2769;1678;17;1074;2658;1561;29;1068;;
   Республика Тыва;4990;2526;60;2404;4634;2530;93;2011;4982;2529;93;2360;4955;2506;97;2352;;
   Республика Хакасия;8614;4677;71;3866;8531;4676;156;3699;8713;4578;208;3927;8509;4457;267;3785;;
   Алтайский край;60711;30232;843;29636;51129;30500;516;20113;50297;29998;721;19578;49051;29797;852;18402;;
   Красноярский край;89690;48930;1433;39327;76878;48700;1642;26536;73811;46828;1875;25108;68746;44794;2108;21844;;
   Иркутская область;79228;43200;507;35521;69560;41661;887;27012;68350;40684;1294;26372;66147;39751;1646;24750;;
   Кемеровская область;61619;29080;1684;30855;51444;26831;2426;22187;48105;25369;4245;18491;46756;25029;4147;17580;;
   Новосибирская область;110331;60207;2000;48124;100932;60366;2047;38519;96680;59980;2264;34436;96319;60224;2981;33114;;
   Омская область;88706;39928;1554;47224;80548;38464;1342;40742;78773;37129;2288;39356;75164;35678;3145;36341;;
   Томская область;63553;37149;2042;24362;59227;37846;1693;19688;59036;38093;1839;19104;57574;37981;2235;17358;;
Дальневосточный федеральный округ;239980;121725;2706;115549;202112;113971;3060;85081;194476;110097;3787;80592;184754;107812;4529;72413;;
   Республика Бурятия;33574;15273;234;18067;24929;11985;197;12747;22296;10855;373;11068;20567;10367;457;9743;;
   Республика Саха (Якутия);26851;16005;221;10625;23868;15333;436;8099;24309;14998;647;8664;23807;15091;697;8019;;
   Забайкальский край;26996;11177;84;15735;23367;10337;199;12831;23154;9929;413;12812;22385;9713;541;12131;;
   Камчатский край;6396;2281;0;4115;5042;2111;131;2800;4863;2047;161;2655;4597;2093;235;2269;;
   Приморский край;54181;34793;1173;18215;48703;35076;955;12672;47595;34626;834;12135;45214;33657;847;10710;;
   Хабаровский край;55673;26594;584;28495;47744;24996;867;21881;45862;24332;1073;20457;42617;23482;1293;17842;;
   Амурская область;19361;10148;270;8943;15893;9616;214;6063;15116;9103;157;5856;14701;9152;175;5374;;
   Магаданская область;4451;1274;0;3177;3244;1111;0;2133;3068;1115;15;1938;2724;1158;35;1531;;
   Сахалинская область;8889;2948;99;5842;7048;2303;30;4715;5989;2035;104;3850;5988;2022;241;3725;;
   Еврейская автономная область;3148;1132;41;1975;2100;1021;31;1048;2053;982;10;1061;2017;1028;8;981;;
   Чукотский автономный округ;460;100;0;360;174;82;0;92;171;75;0;96;137;49;0;88;;
